"case_id","feature_domain","function_name","testrun","changed","status","message"
"acc_csc_001","longitudinal_feature","ACC","C:\CM_Projects\ADAS_Demo1\Data\TestRun\OSC_Imported\longitudinal_feature\ACC\acc_csc_001","False","OK","Backup: C:\CM_Projects\ADAS_Demo1\Data\Misc\OSC_Automation\_backup_testrun_before_fmu_cleanup\longitudinal_feature\ACC\acc_csc_001\testrun_before_fmu_cleanup.backup"
"acc_csc_002","longitudinal_feature","ACC","C:\CM_Projects\ADAS_Demo1\Data\TestRun\OSC_Imported\longitudinal_feature\ACC\acc_csc_002","False","OK","Backup: C:\CM_Projects\ADAS_Demo1\Data\Misc\OSC_Automation\_backup_testrun_before_fmu_cleanup\longitudinal_feature\ACC\acc_csc_002\testrun_before_fmu_cleanup.backup"
"acc_csc_003","longitudinal_feature","ACC","C:\CM_Projects\ADAS_Demo1\Data\TestRun\OSC_Imported\longitudinal_feature\ACC\acc_csc_003","False","OK","Backup: C:\CM_Projects\ADAS_Demo1\Data\Misc\OSC_Automation\_backup_testrun_before_fmu_cleanup\longitudinal_feature\ACC\acc_csc_003\testrun_before_fmu_cleanup.backup"
"acc_csc_004","longitudinal_feature","ACC","C:\CM_Projects\ADAS_Demo1\Data\TestRun\OSC_Imported\longitudinal_feature\ACC\acc_csc_004","False","OK","Backup: C:\CM_Projects\ADAS_Demo1\Data\Misc\OSC_Automation\_backup_testrun_before_fmu_cleanup\longitudinal_feature\ACC\acc_csc_004\testrun_before_fmu_cleanup.backup"
"acc_csc_005","longitudinal_feature","ACC","C:\CM_Projects\ADAS_Demo1\Data\TestRun\OSC_Imported\longitudinal_feature\ACC\acc_csc_005","False","OK","Backup: C:\CM_Projects\ADAS_Demo1\Data\Misc\OSC_Automation\_backup_testrun_before_fmu_cleanup\longitudinal_feature\ACC\acc_csc_005\testrun_before_fmu_cleanup.backup"
"acc_csc_006","longitudinal_feature","ACC","C:\CM_Projects\ADAS_Demo1\Data\TestRun\OSC_Imported\longitudinal_feature\ACC\acc_csc_006","False","OK","Backup: C:\CM_Projects\ADAS_Demo1\Data\Misc\OSC_Automation\_backup_testrun_before_fmu_cleanup\longitudinal_feature\ACC\acc_csc_006\testrun_before_fmu_cleanup.backup"
"acc_csc_007","longitudinal_feature","ACC","C:\CM_Projects\ADAS_Demo1\Data\TestRun\OSC_Imported\longitudinal_feature\ACC\acc_csc_007","False","OK","Backup: C:\CM_Projects\ADAS_Demo1\Data\Misc\OSC_Automation\_backup_testrun_before_fmu_cleanup\longitudinal_feature\ACC\acc_csc_007\testrun_before_fmu_cleanup.backup"
"acc_csc_008","longitudinal_feature","ACC","C:\CM_Projects\ADAS_Demo1\Data\TestRun\OSC_Imported\longitudinal_feature\ACC\acc_csc_008","False","OK","Backup: C:\CM_Projects\ADAS_Demo1\Data\Misc\OSC_Automation\_backup_testrun_before_fmu_cleanup\longitudinal_feature\ACC\acc_csc_008\testrun_before_fmu_cleanup.backup"
"acc_csc_009","longitudinal_feature","ACC","C:\CM_Projects\ADAS_Demo1\Data\TestRun\OSC_Imported\longitudinal_feature\ACC\acc_csc_009","False","OK","Backup: C:\CM_Projects\ADAS_Demo1\Data\Misc\OSC_Automation\_backup_testrun_before_fmu_cleanup\longitudinal_feature\ACC\acc_csc_009\testrun_before_fmu_cleanup.backup"
"acc_csc_010","longitudinal_feature","ACC","C:\CM_Projects\ADAS_Demo1\Data\TestRun\OSC_Imported\longitudinal_feature\ACC\acc_csc_010","False","OK","Backup: C:\CM_Projects\ADAS_Demo1\Data\Misc\OSC_Automation\_backup_testrun_before_fmu_cleanup\longitudinal_feature\ACC\acc_csc_010\testrun_before_fmu_cleanup.backup"
"acc_csc_011","longitudinal_feature","ACC","C:\CM_Projects\ADAS_Demo1\Data\TestRun\OSC_Imported\longitudinal_feature\ACC\acc_csc_011","False","OK","Backup: C:\CM_Projects\ADAS_Demo1\Data\Misc\OSC_Automation\_backup_testrun_before_fmu_cleanup\longitudinal_feature\ACC\acc_csc_011\testrun_before_fmu_cleanup.backup"
