"case_id","feature_domain","function_name","source_xosc","work_xosc","output_testrun","status","exit_code","log_file","message"
"acc_csc_001","longitudinal_feature","ACC","C:\CM_Projects\ADAS_Demo1\Data\OpenSCENARIO\Scenarios\longitudinal_feature\ACC\acc_csc_001\acc_csc_001_001.xosc","C:\CM_Projects\ADAS_Demo1\Data\Misc\OSC_Automation\_work_xosc\longitudinal_feature\ACC\acc_csc_001\acc_csc_001_001.xosc","OSC_Imported\longitudinal_feature\ACC\acc_csc_001","OK","0","C:\CM_Projects\ADAS_Demo1\Data\Misc\OSC_Automation\logs\osc2cm\longitudinal_feature\ACC\acc_csc_001.log",""
"acc_csc_002","longitudinal_feature","ACC","C:\CM_Projects\ADAS_Demo1\Data\OpenSCENARIO\Scenarios\longitudinal_feature\ACC\acc_csc_002\acc_csc_002_001.xosc","C:\CM_Projects\ADAS_Demo1\Data\Misc\OSC_Automation\_work_xosc\longitudinal_feature\ACC\acc_csc_002\acc_csc_002_001.xosc","OSC_Imported\longitudinal_feature\ACC\acc_csc_002","OK","0","C:\CM_Projects\ADAS_Demo1\Data\Misc\OSC_Automation\logs\osc2cm\longitudinal_feature\ACC\acc_csc_002.log",""
"acc_csc_003","longitudinal_feature","ACC","C:\CM_Projects\ADAS_Demo1\Data\OpenSCENARIO\Scenarios\longitudinal_feature\ACC\acc_csc_003\acc_csc_003_001.xosc","C:\CM_Projects\ADAS_Demo1\Data\Misc\OSC_Automation\_work_xosc\longitudinal_feature\ACC\acc_csc_003\acc_csc_003_001.xosc","OSC_Imported\longitudinal_feature\ACC\acc_csc_003","OK","0","C:\CM_Projects\ADAS_Demo1\Data\Misc\OSC_Automation\logs\osc2cm\longitudinal_feature\ACC\acc_csc_003.log",""
"acc_csc_004","longitudinal_feature","ACC","C:\CM_Projects\ADAS_Demo1\Data\OpenSCENARIO\Scenarios\longitudinal_feature\ACC\acc_csc_004\acc_csc_004_001.xosc","C:\CM_Projects\ADAS_Demo1\Data\Misc\OSC_Automation\_work_xosc\longitudinal_feature\ACC\acc_csc_004\acc_csc_004_001.xosc","OSC_Imported\longitudinal_feature\ACC\acc_csc_004","OK","0","C:\CM_Projects\ADAS_Demo1\Data\Misc\OSC_Automation\logs\osc2cm\longitudinal_feature\ACC\acc_csc_004.log",""
"acc_csc_005","longitudinal_feature","ACC","C:\CM_Projects\ADAS_Demo1\Data\OpenSCENARIO\Scenarios\longitudinal_feature\ACC\acc_csc_005\acc_csc_005_001.xosc","C:\CM_Projects\ADAS_Demo1\Data\Misc\OSC_Automation\_work_xosc\longitudinal_feature\ACC\acc_csc_005\acc_csc_005_001.xosc","OSC_Imported\longitudinal_feature\ACC\acc_csc_005","OK","0","C:\CM_Projects\ADAS_Demo1\Data\Misc\OSC_Automation\logs\osc2cm\longitudinal_feature\ACC\acc_csc_005.log",""
"acc_csc_006","longitudinal_feature","ACC","C:\CM_Projects\ADAS_Demo1\Data\OpenSCENARIO\Scenarios\longitudinal_feature\ACC\acc_csc_006\acc_csc_006_001.xosc","C:\CM_Projects\ADAS_Demo1\Data\Misc\OSC_Automation\_work_xosc\longitudinal_feature\ACC\acc_csc_006\acc_csc_006_001.xosc","OSC_Imported\longitudinal_feature\ACC\acc_csc_006","OK","0","C:\CM_Projects\ADAS_Demo1\Data\Misc\OSC_Automation\logs\osc2cm\longitudinal_feature\ACC\acc_csc_006.log",""
"acc_csc_007","longitudinal_feature","ACC","C:\CM_Projects\ADAS_Demo1\Data\OpenSCENARIO\Scenarios\longitudinal_feature\ACC\acc_csc_007\acc_csc_007_001.xosc","C:\CM_Projects\ADAS_Demo1\Data\Misc\OSC_Automation\_work_xosc\longitudinal_feature\ACC\acc_csc_007\acc_csc_007_001.xosc","OSC_Imported\longitudinal_feature\ACC\acc_csc_007","OK","0","C:\CM_Projects\ADAS_Demo1\Data\Misc\OSC_Automation\logs\osc2cm\longitudinal_feature\ACC\acc_csc_007.log",""
"acc_csc_008","longitudinal_feature","ACC","C:\CM_Projects\ADAS_Demo1\Data\OpenSCENARIO\Scenarios\longitudinal_feature\ACC\acc_csc_008\acc_csc_008_001.xosc","C:\CM_Projects\ADAS_Demo1\Data\Misc\OSC_Automation\_work_xosc\longitudinal_feature\ACC\acc_csc_008\acc_csc_008_001.xosc","OSC_Imported\longitudinal_feature\ACC\acc_csc_008","OK","0","C:\CM_Projects\ADAS_Demo1\Data\Misc\OSC_Automation\logs\osc2cm\longitudinal_feature\ACC\acc_csc_008.log",""
"acc_csc_009","longitudinal_feature","ACC","C:\CM_Projects\ADAS_Demo1\Data\OpenSCENARIO\Scenarios\longitudinal_feature\ACC\acc_csc_009\acc_csc_009_001.xosc","C:\CM_Projects\ADAS_Demo1\Data\Misc\OSC_Automation\_work_xosc\longitudinal_feature\ACC\acc_csc_009\acc_csc_009_001.xosc","OSC_Imported\longitudinal_feature\ACC\acc_csc_009","OK","0","C:\CM_Projects\ADAS_Demo1\Data\Misc\OSC_Automation\logs\osc2cm\longitudinal_feature\ACC\acc_csc_009.log",""
"acc_csc_010","longitudinal_feature","ACC","C:\CM_Projects\ADAS_Demo1\Data\OpenSCENARIO\Scenarios\longitudinal_feature\ACC\acc_csc_010\acc_csc_010_001.xosc","C:\CM_Projects\ADAS_Demo1\Data\Misc\OSC_Automation\_work_xosc\longitudinal_feature\ACC\acc_csc_010\acc_csc_010_001.xosc","OSC_Imported\longitudinal_feature\ACC\acc_csc_010","OK","0","C:\CM_Projects\ADAS_Demo1\Data\Misc\OSC_Automation\logs\osc2cm\longitudinal_feature\ACC\acc_csc_010.log",""
