"case_id","kpi_group","characteristic_count","criterion_count","skipped","skip_reason"
"acc_csc_001","safe_distance_consistency","3","1","False",""
"acc_csc_001","TTC","3","1","False",""
"acc_csc_001","comfort_deceleration","2","1","False",""
"acc_csc_001","emergency_deceleration","2","1","False",""
"acc_csc_001","jerk_limit","2","1","False",""
"acc_csc_001","no_collision_distance","2","1","False",""
"acc_csc_001","collision_flag_and_impact_speed","3","2","False",""
"acc_csc_001","driver_reaction_reference","0","0","True","SKIPPED_NO_SIGNAL: driver_reaction_reference is a constant reference value (metric), not measurable from simulation."
"acc_csc_002","safe_distance_consistency","3","1","False",""
"acc_csc_002","TTC","3","1","False",""
"acc_csc_002","comfort_deceleration","2","1","False",""
"acc_csc_002","emergency_deceleration","2","1","False",""
"acc_csc_002","jerk_limit","2","1","False",""
"acc_csc_002","no_collision_distance","2","1","False",""
"acc_csc_002","collision_flag_and_impact_speed","3","2","False",""
"acc_csc_002","driver_reaction_reference","0","0","True","SKIPPED_NO_SIGNAL: driver_reaction_reference is a constant reference value (metric), not measurable from simulation."
"acc_csc_003","safe_distance_consistency","3","1","False",""
"acc_csc_003","TTC","3","1","False",""
"acc_csc_003","comfort_deceleration","2","1","False",""
"acc_csc_003","emergency_deceleration","2","1","False",""
"acc_csc_003","jerk_limit","2","1","False",""
"acc_csc_003","no_collision_distance","2","1","False",""
"acc_csc_003","collision_flag_and_impact_speed","3","2","False",""
"acc_csc_003","driver_reaction_reference","0","0","True","SKIPPED_NO_SIGNAL: driver_reaction_reference is a constant reference value (metric), not measurable from simulation."
"acc_csc_004","safe_distance_consistency","3","1","False",""
"acc_csc_004","TTC","3","1","False",""
"acc_csc_004","comfort_deceleration","2","1","False",""
"acc_csc_004","emergency_deceleration","2","1","False",""
"acc_csc_004","jerk_limit","2","1","False",""
"acc_csc_004","no_collision_distance","2","1","False",""
"acc_csc_004","collision_flag_and_impact_speed","3","2","False",""
"acc_csc_004","driver_reaction_reference","0","0","True","SKIPPED_NO_SIGNAL: driver_reaction_reference is a constant reference value (metric), not measurable from simulation."
"acc_csc_005","safe_distance_consistency","3","1","False",""
"acc_csc_005","TTC","3","1","False",""
"acc_csc_005","comfort_deceleration","2","1","False",""
"acc_csc_005","emergency_deceleration","2","1","False",""
"acc_csc_005","jerk_limit","2","1","False",""
"acc_csc_005","no_collision_distance","2","1","False",""
"acc_csc_005","collision_flag_and_impact_speed","3","2","False",""
