"case_id","feature_domain","function_name","testrun","yaml_path","yaml_found","status","inject_params","variation_count","declared_not_sampled","ignored_sample_keys_not_declared","missing_params_in_testrun","message"
"acc_csc_001","longitudinal_feature","ACC","OSC_Imported\longitudinal_feature\ACC\acc_csc_001","C:\CM_Projects\ADAS_Demo1\Data\OpenSCENARIO\DATA_sample\longitudinal_feature\ACC\acc_dsp_001.yaml","YES","OK","EgoSpeed,TVSpeed,TV_initPos","5","TV_lanePos","","","Injected YAML variations."
"acc_csc_002","longitudinal_feature","ACC","OSC_Imported\longitudinal_feature\ACC\acc_csc_002","C:\CM_Projects\ADAS_Demo1\Data\OpenSCENARIO\DATA_sample\longitudinal_feature\ACC\acc_dsp_002.yaml","YES","OK","EgoSpeed,TVSpeed,TV_initPos","5","TV_lanePos","","","Injected YAML variations."
"acc_csc_003","longitudinal_feature","ACC","OSC_Imported\longitudinal_feature\ACC\acc_csc_003","C:\CM_Projects\ADAS_Demo1\Data\OpenSCENARIO\DATA_sample\longitudinal_feature\ACC\acc_dsp_003.yaml","YES","OK","EgoSpeed,TVSpeed,TV_initPos","5","TV_lanePos","","","Injected YAML variations."
"acc_csc_004","longitudinal_feature","ACC","OSC_Imported\longitudinal_feature\ACC\acc_csc_004","C:\CM_Projects\ADAS_Demo1\Data\OpenSCENARIO\DATA_sample\longitudinal_feature\ACC\acc_dsp_004.yaml","YES","OK","EgoSpeed,TVSpeed,TV_initPos","5","TV_lanePos","","","Injected YAML variations."
"acc_csc_005","longitudinal_feature","ACC","OSC_Imported\longitudinal_feature\ACC\acc_csc_005","C:\CM_Projects\ADAS_Demo1\Data\OpenSCENARIO\DATA_sample\longitudinal_feature\ACC\acc_dsp_005.yaml","YES","OK","EgoSpeed,TV1Speed,TV1_initPos,TV2Speed,TV2_initPos","5","TV1_lanePos,TV2_lanePos","","","Injected YAML variations."
"acc_csc_006","longitudinal_feature","ACC","OSC_Imported\longitudinal_feature\ACC\acc_csc_006","C:\CM_Projects\ADAS_Demo1\Data\OpenSCENARIO\DATA_sample\longitudinal_feature\ACC\acc_dsp_006.yaml","YES","OK","EgoSpeed,TV1Speed,TV1_initPos,TV2Speed,TV2_initPos","5","TV1_lanePos,TV2_lanePos","","","Injected YAML variations."
"acc_csc_007","longitudinal_feature","ACC","OSC_Imported\longitudinal_feature\ACC\acc_csc_007","C:\CM_Projects\ADAS_Demo1\Data\OpenSCENARIO\DATA_sample\longitudinal_feature\ACC\acc_dsp_007.yaml","YES","OK","EgoSpeed,TVSpeed,TV_initPos","5","TV_lanePos","","","Injected YAML variations."
"acc_csc_008","longitudinal_feature","ACC","OSC_Imported\longitudinal_feature\ACC\acc_csc_008","C:\CM_Projects\ADAS_Demo1\Data\OpenSCENARIO\DATA_sample\longitudinal_feature\ACC\acc_dsp_008.yaml","YES","OK","EgoSpeed,TVSpeed,TV_initPos","5","TV_lanePos","","","Injected YAML variations."
"acc_csc_009","longitudinal_feature","ACC","OSC_Imported\longitudinal_feature\ACC\acc_csc_009","C:\CM_Projects\ADAS_Demo1\Data\OpenSCENARIO\DATA_sample\longitudinal_feature\ACC\acc_dsp_009.yaml","YES","OK","EgoSpeed,TVSpeed,TV_initPos","5","TV_lanePos","","","Injected YAML variations."
"acc_csc_010","longitudinal_feature","ACC","OSC_Imported\longitudinal_feature\ACC\acc_csc_010","C:\CM_Projects\ADAS_Demo1\Data\OpenSCENARIO\DATA_sample\longitudinal_feature\ACC\acc_dsp_010.yaml","YES","OK","EgoSpeed,TV1Speed,TV1_initPos,TV2Speed,TV2_initPos","5","TV1_lanePos,TV2_lanePos","","","Injected YAML variations."
"acc_csc_011","longitudinal_feature","ACC","OSC_Imported\longitudinal_feature\ACC\acc_csc_011","C:\CM_Projects\ADAS_Demo1\Data\OpenSCENARIO\DATA_sample\longitudinal_feature\ACC\acc_dsp_011.yaml","YES","OK","EgoSpeed,TV1Speed,TV1_initPos,TV2Speed,TV2_initPos","5","TV1_lanePos,TV2_lanePos","","","Injected YAML variations."
"acc_csc_012","longitudinal_feature","ACC","OSC_Imported\longitudinal_feature\ACC\acc_csc_012","C:\CM_Projects\ADAS_Demo1\Data\OpenSCENARIO\DATA_sample\longitudinal_feature\ACC\acc_dsp_012.yaml","YES","OK","EgoSpeed,TV1Speed,TV1_initPos,TV2Speed,TV2_initPos","5","TV1_lanePos,TV2_lanePos","","","Injected YAML variations."
"acc_csc_013","longitudinal_feature","ACC","OSC_Imported\longitudinal_feature\ACC\acc_csc_013","C:\CM_Projects\ADAS_Demo1\Data\OpenSCENARIO\DATA_sample\longitudinal_feature\ACC\acc_dsp_013.yaml","YES","OK","EgoSpeed,TV1Speed,TV1_initPos,TV2Speed,TV2_initPos","5","TV1_lanePos,TV2_lanePos","","","Injected YAML variations."
"acc_csc_014","longitudinal_feature","ACC","OSC_Imported\longitudinal_feature\ACC\acc_csc_014","C:\CM_Projects\ADAS_Demo1\Data\OpenSCENARIO\DATA_sample\longitudinal_feature\ACC\acc_dsp_014.yaml","YES","OK","EgoSpeed,TVSpeed,TV_initPos","5","TV_lanePos","","","Injected YAML variations."
"acc_csc_015","longitudinal_feature","ACC","OSC_Imported\longitudinal_feature\ACC\acc_csc_015","C:\CM_Projects\ADAS_Demo1\Data\OpenSCENARIO\DATA_sample\longitudinal_feature\ACC\acc_dsp_015.yaml","YES","OK","EgoSpeed,TVSpeed,TV_initPos","5","TV_lanePos","","","Injected YAML variations."
"acc_csc_016","longitudinal_feature","ACC","OSC_Imported\longitudinal_feature\ACC\acc_csc_016","C:\CM_Projects\ADAS_Demo1\Data\OpenSCENARIO\DATA_sample\longitudinal_feature\ACC\acc_dsp_016.yaml","YES","OK","EgoSpeed,TVSpeed,TV_initPos","5","TV_lanePos","","","Injected YAML variations."
"acc_csc_017","longitudinal_feature","ACC","OSC_Imported\longitudinal_feature\ACC\acc_csc_017","C:\CM_Projects\ADAS_Demo1\Data\OpenSCENARIO\DATA_sample\longitudinal_feature\ACC\acc_dsp_017.yaml","YES","OK","EgoSpeed,TVSpeed,TV_initPos","5","TV_lanePos","","","Injected YAML variations."
"acc_csc_018","longitudinal_feature","ACC","OSC_Imported\longitudinal_feature\ACC\acc_csc_018","C:\CM_Projects\ADAS_Demo1\Data\OpenSCENARIO\DATA_sample\longitudinal_feature\ACC\acc_dsp_018.yaml","YES","OK","EgoSpeed,TVSpeed,TV_initPos","5","TV_lanePos","","","Injected YAML variations."
"acc_csc_019","longitudinal_feature","ACC","OSC_Imported\longitudinal_feature\ACC\acc_csc_019","C:\CM_Projects\ADAS_Demo1\Data\OpenSCENARIO\DATA_sample\longitudinal_feature\ACC\acc_dsp_019.yaml","YES","OK","EgoSpeed,TVSpeed,TV_initPos","5","TV_lanePos","","","Injected YAML variations."
