"case_id","feature_domain","function_name","source_xosc_abs","source_xosc_rel","work_xosc_rel","output_testrun","entity_count","non_ego_entity_count","is_multi_tv","enabled"
"acc_csc_001","longitudinal_feature","ACC","C:\CM_Projects\ADAS_Demo1\Data\OpenSCENARIO\Scenarios\longitudinal_feature\ACC\acc_csc_001\acc_csc_001_001.xosc","Data\OpenSCENARIO\Scenarios\longitudinal_feature\ACC\acc_csc_001\acc_csc_001_001.xosc","_work_xosc\longitudinal_feature\ACC\acc_csc_001\acc_csc_001_001.xosc","OSC_Imported\longitudinal_feature\ACC\acc_csc_001","2","1","0","1"
"acc_csc_002","longitudinal_feature","ACC","C:\CM_Projects\ADAS_Demo1\Data\OpenSCENARIO\Scenarios\longitudinal_feature\ACC\acc_csc_002\acc_csc_002_001.xosc","Data\OpenSCENARIO\Scenarios\longitudinal_feature\ACC\acc_csc_002\acc_csc_002_001.xosc","_work_xosc\longitudinal_feature\ACC\acc_csc_002\acc_csc_002_001.xosc","OSC_Imported\longitudinal_feature\ACC\acc_csc_002","2","1","0","1"
"acc_csc_003","longitudinal_feature","ACC","C:\CM_Projects\ADAS_Demo1\Data\OpenSCENARIO\Scenarios\longitudinal_feature\ACC\acc_csc_003\acc_csc_003_001.xosc","Data\OpenSCENARIO\Scenarios\longitudinal_feature\ACC\acc_csc_003\acc_csc_003_001.xosc","_work_xosc\longitudinal_feature\ACC\acc_csc_003\acc_csc_003_001.xosc","OSC_Imported\longitudinal_feature\ACC\acc_csc_003","2","1","0","1"
"acc_csc_004","longitudinal_feature","ACC","C:\CM_Projects\ADAS_Demo1\Data\OpenSCENARIO\Scenarios\longitudinal_feature\ACC\acc_csc_004\acc_csc_004_001.xosc","Data\OpenSCENARIO\Scenarios\longitudinal_feature\ACC\acc_csc_004\acc_csc_004_001.xosc","_work_xosc\longitudinal_feature\ACC\acc_csc_004\acc_csc_004_001.xosc","OSC_Imported\longitudinal_feature\ACC\acc_csc_004","2","1","0","1"
"acc_csc_005","longitudinal_feature","ACC","C:\CM_Projects\ADAS_Demo1\Data\OpenSCENARIO\Scenarios\longitudinal_feature\ACC\acc_csc_005\acc_csc_005_001.xosc","Data\OpenSCENARIO\Scenarios\longitudinal_feature\ACC\acc_csc_005\acc_csc_005_001.xosc","_work_xosc\longitudinal_feature\ACC\acc_csc_005\acc_csc_005_001.xosc","OSC_Imported\longitudinal_feature\ACC\acc_csc_005","10","9","1","1"
"acc_csc_006","longitudinal_feature","ACC","C:\CM_Projects\ADAS_Demo1\Data\OpenSCENARIO\Scenarios\longitudinal_feature\ACC\acc_csc_006\acc_csc_006_001.xosc","Data\OpenSCENARIO\Scenarios\longitudinal_feature\ACC\acc_csc_006\acc_csc_006_001.xosc","_work_xosc\longitudinal_feature\ACC\acc_csc_006\acc_csc_006_001.xosc","OSC_Imported\longitudinal_feature\ACC\acc_csc_006","10","9","1","1"
"acc_csc_007","longitudinal_feature","ACC","C:\CM_Projects\ADAS_Demo1\Data\OpenSCENARIO\Scenarios\longitudinal_feature\ACC\acc_csc_007\acc_csc_007_001.xosc","Data\OpenSCENARIO\Scenarios\longitudinal_feature\ACC\acc_csc_007\acc_csc_007_001.xosc","_work_xosc\longitudinal_feature\ACC\acc_csc_007\acc_csc_007_001.xosc","OSC_Imported\longitudinal_feature\ACC\acc_csc_007","2","1","0","1"
"acc_csc_008","longitudinal_feature","ACC","C:\CM_Projects\ADAS_Demo1\Data\OpenSCENARIO\Scenarios\longitudinal_feature\ACC\acc_csc_008\acc_csc_008_001.xosc","Data\OpenSCENARIO\Scenarios\longitudinal_feature\ACC\acc_csc_008\acc_csc_008_001.xosc","_work_xosc\longitudinal_feature\ACC\acc_csc_008\acc_csc_008_001.xosc","OSC_Imported\longitudinal_feature\ACC\acc_csc_008","2","1","0","1"
"acc_csc_009","longitudinal_feature","ACC","C:\CM_Projects\ADAS_Demo1\Data\OpenSCENARIO\Scenarios\longitudinal_feature\ACC\acc_csc_009\acc_csc_009_001.xosc","Data\OpenSCENARIO\Scenarios\longitudinal_feature\ACC\acc_csc_009\acc_csc_009_001.xosc","_work_xosc\longitudinal_feature\ACC\acc_csc_009\acc_csc_009_001.xosc","OSC_Imported\longitudinal_feature\ACC\acc_csc_009","2","1","0","1"
"acc_csc_010","longitudinal_feature","ACC","C:\CM_Projects\ADAS_Demo1\Data\OpenSCENARIO\Scenarios\longitudinal_feature\ACC\acc_csc_010\acc_csc_010_001.xosc","Data\OpenSCENARIO\Scenarios\longitudinal_feature\ACC\acc_csc_010\acc_csc_010_001.xosc","_work_xosc\longitudinal_feature\ACC\acc_csc_010\acc_csc_010_001.xosc","OSC_Imported\longitudinal_feature\ACC\acc_csc_010","10","9","1","1"
"acc_csc_011","longitudinal_feature","ACC","C:\CM_Projects\ADAS_Demo1\Data\OpenSCENARIO\Scenarios\longitudinal_feature\ACC\acc_csc_011\acc_csc_011_001.xosc","Data\OpenSCENARIO\Scenarios\longitudinal_feature\ACC\acc_csc_011\acc_csc_011_001.xosc","_work_xosc\longitudinal_feature\ACC\acc_csc_011\acc_csc_011_001.xosc","OSC_Imported\longitudinal_feature\ACC\acc_csc_011","10","9","1","1"
"acc_csc_012","longitudinal_feature","ACC","C:\CM_Projects\ADAS_Demo1\Data\OpenSCENARIO\Scenarios\longitudinal_feature\ACC\acc_csc_012\acc_csc_012_001.xosc","Data\OpenSCENARIO\Scenarios\longitudinal_feature\ACC\acc_csc_012\acc_csc_012_001.xosc","_work_xosc\longitudinal_feature\ACC\acc_csc_012\acc_csc_012_001.xosc","OSC_Imported\longitudinal_feature\ACC\acc_csc_012","10","9","1","1"
"acc_csc_013","longitudinal_feature","ACC","C:\CM_Projects\ADAS_Demo1\Data\OpenSCENARIO\Scenarios\longitudinal_feature\ACC\acc_csc_013\acc_csc_013_001.xosc","Data\OpenSCENARIO\Scenarios\longitudinal_feature\ACC\acc_csc_013\acc_csc_013_001.xosc","_work_xosc\longitudinal_feature\ACC\acc_csc_013\acc_csc_013_001.xosc","OSC_Imported\longitudinal_feature\ACC\acc_csc_013","10","9","1","1"
